id,title,genre,year,source_url
1,Teenagers from Outer Space,"Science Fiction,Horror",1959,https://archive.org/details/teenagers_from_outerspace
2,Plan 9 from Outer Space,"Science Fiction,Horror",1959,https://archive.org/details/Plan_9_from_Outer_Space_1959
3,The Brain That Wouldn't Die,"Science Fiction,Horror",1962,https://archive.org/details/TheBrainThatWouldntDie
4,The Phantom Planet,"Science Fiction,Adventure",1961,https://archive.org/details/The_Phantom_Planet
5,The Amazing Transparent Man,"Science Fiction",1960,https://archive.org/details/TheAmazingTransparentMan
6,The Atomic Brain,"Science Fiction,Horror",1963,https://archive.org/details/TheAtomicBrain
7,Assignment: Outer Space,"Science Fiction",1960,https://archive.org/details/AssignmentOuterSpace
8,First Spaceship on Venus,"Science Fiction",1960,https://archive.org/details/FirstSpaceshipOnVenus
9,The Day the Sky Exploded,"Science Fiction",1958,https://archive.org/details/TheDayTheSkyExploded
10,The Manster,"Science Fiction,Horror",1959,https://archive.org/details/TheManster
